step,train_mloss,train_gloss,train_loss
100.0,1.4626,1.0086,2.4711999999999996
200.0,1.2153,1.0146,2.2298999999999998
300.0,1.0701,1.0144,2.0845000000000002
400.0,0.9664,1.0138,1.9802
500.0,0.9051,1.0139,1.919
600.0,0.8593,1.0143,1.8736
700.0,0.8167,1.0122,1.8289
800.0,0.7942,1.0119,1.8061
900.0,0.7607,1.0087,1.7694
1000.0,0.7499,1.008,1.7579
1100.0,0.7254,1.0076,1.733
1200.0,0.7107,1.0065,1.7172
1300.0,0.6968,1.0042,1.701
1400.0,0.6814,1.0037,1.6851
1500.0,0.6728,1.0023,1.6751
1600.0,0.6603,1.0005,1.6608
1700.0,0.6478,0.9985,1.6463
1800.0,0.643,0.9971,1.6401
1900.0,0.6319,0.9961,1.6280000000000001
2000.0,0.6205,0.995,1.6155
2100.0,0.6156,0.9933,1.6089
2200.0,0.603,0.9915,1.5945
2300.0,0.5997,0.9909,1.5906
2400.0,0.5874,0.988,1.5754000000000001
2500.0,0.5808,0.9876,1.5684
2600.0,0.5759,0.9856,1.5615
2700.0,0.5673,0.985,1.5523
2800.0,0.5698,0.9844,1.5542
2900.0,0.565,0.9833,1.5482999999999998
3000.0,0.558,0.9831,1.5411000000000001
3100.0,0.5546,0.9819,1.5365
3200.0,0.5486,0.9812,1.5297999999999998
3300.0,0.5478,0.9805,1.5283
3400.0,0.5466,0.9794,1.526
3500.0,0.5423,0.9793,1.5215999999999998
3600.0,0.5359,0.9782,1.5141
3700.0,0.5461,0.9768,1.5229
3800.0,0.5346,0.9781,1.5127
3900.0,0.5308,0.9763,1.5070999999999999
4000.0,0.5284,0.9756,1.504
4100.0,0.5235,0.976,1.4994999999999998
4200.0,0.5267,0.9761,1.5028
4300.0,0.5254,0.9749,1.5003
4400.0,0.5195,0.9744,1.4939
4500.0,0.5184,0.9741,1.4925
4600.0,0.5163,0.9729,1.4891999999999999
4700.0,0.5173,0.9734,1.4907
4800.0,0.5137,0.9721,1.4858
4900.0,0.5099,0.9721,1.482
5000.0,0.5083,0.97,1.4783
5100.0,0.5114,0.9715,1.4828999999999999
5200.0,0.5107,0.9708,1.4815
5300.0,0.5081,0.9705,1.4786000000000001
5400.0,0.5009,0.9689,1.4698
5500.0,0.5014,0.9686,1.47
5600.0,0.4956,0.969,1.4646
5700.0,0.4959,0.9678,1.4637
5800.0,0.4984,0.968,1.4664
5900.0,0.4975,0.9668,1.4643
6000.0,0.4925,0.9675,1.46
6100.0,0.4948,0.966,1.4607999999999999
6200.0,0.4937,0.9665,1.4602
6300.0,0.4941,0.9647,1.4588
6400.0,0.4915,0.9644,1.4559
6500.0,0.4897,0.9644,1.4541
6600.0,0.4848,0.9633,1.4481000000000002
6700.0,0.4804,0.964,1.4444
6800.0,0.4844,0.9637,1.4481
6900.0,0.4849,0.964,1.4489
7000.0,0.4855,0.9631,1.4485999999999999
7100.0,0.4821,0.9625,1.4445999999999999
7200.0,0.4838,0.9615,1.4453
7300.0,0.4784,0.9601,1.4385
7400.0,0.4767,0.961,1.4377
7500.0,0.4801,0.9604,1.4405000000000001
7600.0,0.4819,0.9601,1.442
7700.0,0.4762,0.9596,1.4358
7800.0,0.482,0.9579,1.4399
7900.0,0.4782,0.9579,1.4361
8000.0,0.4767,0.9575,1.4342000000000001
8100.0,0.4767,0.9555,1.4322
8200.0,0.4713,0.9551,1.4264
8300.0,0.4743,0.9547,1.429
8400.0,0.4734,0.953,1.4264
8500.0,0.4712,0.9532,1.4244
8600.0,0.4675,0.9543,1.4218000000000002
8700.0,0.4709,0.951,1.4219
8800.0,0.473,0.9516,1.4245999999999999
8900.0,0.4711,0.9506,1.4217
9000.0,0.468,0.9497,1.4177
9100.0,0.4701,0.9505,1.4206
9200.0,0.4658,0.9488,1.4146
9300.0,0.4647,0.9478,1.4125
9400.0,0.4655,0.9467,1.4122
9500.0,0.4641,0.9464,1.4105
9600.0,0.4599,0.9452,1.4051
9700.0,0.4604,0.9451,1.4055
9800.0,0.4614,0.9447,1.4061
9900.0,0.4617,0.9455,1.4072
10000.0,0.4574,0.9437,1.4011
10100.0,0.4582,0.9438,1.402
10200.0,0.4558,0.9417,1.3975
10300.0,0.4538,0.9422,1.396
10400.0,0.4568,0.9408,1.3976
10500.0,0.4579,0.9407,1.3986
10600.0,0.4565,0.9403,1.3968
10700.0,0.4548,0.9388,1.3936
10800.0,0.4505,0.9395,1.3900000000000001
10900.0,0.4534,0.9394,1.3928
11000.0,0.4552,0.9387,1.3939
11100.0,0.4531,0.9391,1.3922
11200.0,0.4534,0.9379,1.3913
11300.0,0.4515,0.9385,1.3900000000000001
11400.0,0.4526,0.9368,1.3894
11500.0,0.4489,0.9363,1.3852
11600.0,0.4491,0.936,1.3851
11700.0,0.4513,0.9361,1.3874
11800.0,0.4503,0.9359,1.3861999999999999
11900.0,0.4474,0.9352,1.3826
12000.0,0.4512,0.9343,1.3855
12100.0,0.447,0.9334,1.3804
12200.0,0.4497,0.9351,1.3848
12300.0,0.4491,0.9335,1.3826
12400.0,0.4477,0.9342,1.3819
12500.0,0.4461,0.9329,1.379
12600.0,0.4455,0.9327,1.3782
12700.0,0.4473,0.9329,1.3801999999999999
12800.0,0.4469,0.9321,1.379
12900.0,0.4431,0.9308,1.3739
13000.0,0.4421,0.9322,1.3743
13100.0,0.4424,0.932,1.3744
13200.0,0.4454,0.9308,1.3761999999999999
13300.0,0.4479,0.9316,1.3795
13400.0,0.4397,0.9315,1.3712
13500.0,0.4415,0.9308,1.3723
13600.0,0.4453,0.9297,1.375
13700.0,0.4439,0.9319,1.3758
13800.0,0.4482,0.9302,1.3784
13900.0,0.4457,0.9293,1.375
14000.0,0.4508,0.9309,1.3817
14100.0,0.441,0.9297,1.3707
14200.0,0.441,0.9299,1.3709
14300.0,0.4457,0.9295,1.3752
14400.0,0.4439,0.9291,1.373
14500.0,0.4453,0.929,1.3743
14600.0,0.4431,0.9294,1.3725
14700.0,0.4424,0.9304,1.3728
14800.0,0.4397,0.9294,1.3691
14900.0,0.4482,0.9304,1.3786
15000.0,0.4425,0.9293,1.3718
